,STATE,Year,PM2.5 (in ug/m3 LC)
0,Alabama,1999.0,19.81649011299435
1,Alabama,2000.0,17.80945558739255
2,Alabama,2001.0,15.488282402528977
3,Alabama,2002.0,14.717761743936137
4,Alabama,2003.0,14.774763773804333
5,Alabama,2004.0,14.722874683037501
6,Alabama,2005.0,15.776068052930057
7,Alabama,2006.0,15.22505928853755
8,Alabama,2007.0,15.610742945896972
9,Alabama,2008.0,12.903442560244804
10,Alabama,2009.0,10.69785219399538
11,Alabama,2010.0,11.893441910966342
12,Alabama,2011.0,11.604509172384821
13,Alabama,2012.0,10.159030837004405
14,Alabama,2013.0,9.608721864951768
15,Alabama,2014.0,10.092372017132368
16,Alabama,2015.0,9.738797972483706
17,Alabama,2016.0,8.926241671714113
18,Alabama,2017.0,8.938773388773388
19,Alabama,2018.0,8.65929978118162
20,Alabama,2019.0,9.141292392300642
21,Alabama,2020.0,7.839576365663323
22,Alaska,1999.0,5.849630996309963
23,Alaska,2000.0,6.192515592515592
24,Alaska,2001.0,5.740258449304175
25,Alaska,2002.0,5.179180064308682
26,Alaska,2003.0,4.312993762993764
27,Alaska,2004.0,7.530840258541089
28,Alaska,2005.0,4.527990033222591
29,Alaska,2006.0,6.3613110539845765
30,Alaska,2007.0,6.238207547169812
31,Alaska,2008.0,6.615548780487805
32,Alaska,2009.0,8.488309352517986
33,Alaska,2010.0,7.083017832647462
34,Alaska,2011.0,6.18044537230341
35,Alaska,2012.0,6.762209302325582
36,Alaska,2013.0,8.40616854908775
37,Alaska,2014.0,10.023306469178829
38,Alaska,2015.0,10.370990857425253
39,Alaska,2016.0,7.296812971764048
40,Alaska,2017.0,7.1545692589683165
41,Alaska,2018.0,6.408323752586801
42,Alaska,2019.0,8.365184539378088
43,Alaska,2020.0,6.269260700389105
44,Arizona,1999.0,9.454295532646048
45,Arizona,2000.0,8.70761346998536
46,Arizona,2001.0,7.457335041639974
47,Arizona,2002.0,7.302720207253886
48,Arizona,2003.0,6.631804091754495
49,Arizona,2004.0,5.7634648868253056
50,Arizona,2005.0,6.920137649757838
51,Arizona,2006.0,7.283554647599591
52,Arizona,2007.0,7.154610911104957
53,Arizona,2008.0,6.8089997213708555
54,Arizona,2009.0,6.303642476884281
55,Arizona,2010.0,5.976524320621147
56,Arizona,2011.0,7.6823178226514495
57,Arizona,2012.0,7.545698924731183
58,Arizona,2013.0,7.012102093490106
59,Arizona,2014.0,7.196953316953317
60,Arizona,2015.0,6.321488729254397
61,Arizona,2016.0,6.911048158640226
62,Arizona,2017.0,7.5481365335906405
63,Arizona,2018.0,6.97628603443007
64,Arizona,2019.0,5.983466336967517
65,Arizona,2020.0,7.284210526315789
