,STATE,Year,SO2 (in ppb)
0,Alabama,1980,36.801166747690814
1,Alabama,1981,34.88716448289022
2,Alabama,1982,26.400762388818297
3,Alabama,1983,24.80747290359384
4,Alabama,1984,20.24603814128391
5,Alabama,1985,18.17448923246825
6,Alabama,1986,24.150659133709983
7,Alabama,1987,30.243601895734596
8,Alabama,1988,24.74216765453006
9,Alabama,1989,22.22031772575251
10,Alabama,1990,22.59046232253367
11,Alabama,1991,21.310063784549964
12,Alabama,1992,21.110925073252407
13,Alabama,1993,28.670900692840647
14,Alabama,1994,26.695705521472394
15,Alabama,1995,22.119710906701705
16,Alabama,1996,17.95739988392339
17,Alabama,1997,18.443805541035022
18,Alabama,1998,17.779669260700388
19,Alabama,1999,21.69036954087346
20,Alabama,2000,17.268635724331926
21,Alabama,2001,11.936102236421725
22,Alabama,2002,8.895014662756598
23,Alabama,2003,10.825646794150732
24,Alabama,2004,7.942357512953368
25,Alabama,2005,9.629656160458453
26,Alabama,2006,10.017841213202498
27,Alabama,2007,9.597359735973598
28,Alabama,2008,10.939890710382514
29,Alabama,2009,6.862258953168044
30,Alabama,2010,5.7835616438356166
31,Alabama,2011,6.495520231213872
32,Alabama,2012,6.696411092985318
33,Alabama,2013,3.68562091503268
34,Alabama,2014,5.221203007518797
35,Alabama,2015,4.043944099378883
36,Alabama,2016,3.670816733067729
37,Alabama,2017,6.073325358851675
38,Alabama,2018,4.3297948717948715
39,Alabama,2019,3.9303729146221786
40,Alaska,1980,10.202722772277227
41,Alaska,1981,8.282216494845361
42,Alaska,1982,4.7894736842105265
43,Alaska,1983,3.2527777777777778
44,Alaska,1984,0.6666666666666666
45,Alaska,1985,37.285057471264366
46,Alaska,1986,34.12328767123287
47,Alaska,1988,4.546099290780142
48,Alaska,1989,6.661914460285132
49,Alaska,1990,13.09375
50,Alaska,1991,25.66531440162272
51,Alaska,1992,46.088825214899714
52,Alaska,1993,45.69047619047619
53,Alaska,2011,14.046268656716418
54,Alaska,2012,14.750574712643678
55,Alaska,2013,12.806963788300836
56,Alaska,2014,12.659556786703602
57,Alaska,2015,11.662390670553936
58,Alaska,2016,10.440983606557378
59,Alaska,2017,11.128011204481792
60,Alaska,2018,10.296685082872928
61,Alaska,2019,9.514655172413793
62,Arizona,1980,115.93557957194321
63,Arizona,1981,151.9309429700734
64,Arizona,1982,80.01435664939551
65,Arizona,1983,90.25326203208556
66,Arizona,1984,84.77349989760393
67,Arizona,1985,61.44992990654206
68,Arizona,1986,50.27761607761608
69,Arizona,1987,29.343424787133397
70,Arizona,1988,24.317300694674163
71,Arizona,1989,17.474380871050386
72,Arizona,1990,22.72858660998937
73,Arizona,1991,20.035964391691394
74,Arizona,1992,11.587609970674487
75,Arizona,1993,24.729552889858233
76,Arizona,1994,3.8455465587044535
77,Arizona,1995,11.911254980079681
78,Arizona,1996,14.856440511307769
79,Arizona,1997,10.52030162412993
80,Arizona,1998,10.963108706345302
81,Arizona,1999,19.247296614451745
82,Arizona,2000,16.838690824079485
83,Arizona,2001,20.049605411499435
84,Arizona,2002,16.501936108422072
85,Arizona,2003,16.475970425138634
86,Arizona,2004,18.24812382739212
87,Arizona,2005,12.979830576845503
88,Arizona,2006,12.408033826638478
89,Arizona,2007,14.328223270440251
90,Arizona,2008,17.33237958989032
91,Arizona,2009,14.586765386395188
92,Arizona,2010,16.86786840919333
93,Arizona,2011,13.418602312719958
94,Arizona,2012,16.933563854310744
95,Arizona,2013,14.674442413162705
96,Arizona,2014,16.863400576368875
97,Arizona,2015,16.940513772825753
98,Arizona,2016,17.164802516602588
99,Arizona,2017,16.78415361670395
100,Arizona,2018,11.582868686868686
101,Arizona,2019,7.807199055861527
102,Arkansas,1980,10.55243445692884
103,Arkansas,1981,11.048582995951417
104,Arkansas,1982,7.860215053763441
105,Arkansas,1983,5.315789473684211
106,Arkansas,1984,2.6881405563689604
107,Arkansas,1985,9.27403156384505
108,Arkansas,1986,5.828282828282828
109,Arkansas,1987,8.147321428571429
110,Arkansas,1988,10.397260273972602
111,Arkansas,1989,11.113924050632912
112,Arkansas,1990,15.200842696629213
113,Arkansas,1991,14.068693693693694
114,Arkansas,1992,20.024271844660195
115,Arkansas,1993,25.502739726027396
116,Arkansas,1994,13.274482758620689
117,Arkansas,1995,13.283124128312412
118,Arkansas,1996,12.771857923497267
119,Arkansas,1997,13.045205479452054
120,Arkansas,1998,8.768266320795504
121,Arkansas,1999,10.028092577813249
122,Arkansas,2000,12.761158192090395
123,Arkansas,2001,6.754683195592286
124,Arkansas,2002,5.538582677165354
125,Arkansas,2003,5.3708791208791204
126,Arkansas,2004,4.363896848137536
127,Arkansas,2005,4.1716417910447765
128,Arkansas,2006,5.7027397260273975
129,Arkansas,2007,5.176308539944904
130,Arkansas,2008,3.7240437158469946
131,Arkansas,2009,3.541436464088398
132,Arkansas,2010,3.047981651376147
133,Arkansas,2011,3.229826166514181
134,Arkansas,2012,3.30327868852459
135,Arkansas,2013,2.6665437788018433
136,Arkansas,2014,2.784657534246575
137,Arkansas,2015,2.8310958904109587
138,Arkansas,2016,2.3243169398907106
139,Arkansas,2017,1.3989010989010988
140,Arkansas,2018,1.4162087912087913
141,Arkansas,2019,1.9365384615384615
142,Arkansas,2020,1.4384615384615385
143,California,1980,12.859432968442267
144,California,1981,10.23990914683197
145,California,1982,8.559211479924627
146,California,1983,8.171752489934308
147,California,1984,9.34371466748895
148,California,1985,7.860172739817039
149,California,1986,6.942338519566242
150,California,1987,5.771207443801904
151,California,1988,6.627933398628795
152,California,1989,5.906861082852944
