State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
US-OH,53834171,55917355,57224326,54993946.01,59607209.05,58604329.02,59452081,58953472,51096324,53712205,48139777,37119141,40622554,38417332,30518117,29056835,28522773,25121096,19595387,18761183,19029668,18087064
US-OK,20500183,21364736,21580473,20293772,21951758,21188461,20547491,21956887,20959233,19362898,21307004,18317298,18794030,18742693,15646699,12169671,10939560,9541239,5205509,3970163,7434569,5854440
US-OR,2490485,2154618,2532925,2076573,2103125,1449061,2577187,2382020,1854042,2417098,1985277,1583129,2182985,1853491,1400657,1124563,1031022,897821,1499340,985290,,
US-PA,49297454,49859713,50925827,51697855.95,54464251.63,55935918.07,55712416,53994936,48852528,50888343,47402552,41602295,41992205,38307400,31391161,27527666,24384201,23502780,19480320,13622130,16269864,14747956
US-RI,,,,,,,,,,,,,,,,,,,,,,
US-SC,14382462,14340508,14713709,15556961,15792529,15761216,16524069,16878551,14071013,15411376,13969915,11657801,9973304,11796781,9276698,8682786,7647695,8282057,6474188,5555463,6534287,6081150
US-SD,2211605,2050883,2173733,2327955,1880136.03,2063543.02,1690652,2359357,2106637,2163853,1767952,1950142,1847073,1780371,989978,1402810,1354935,1493490,1689836,1129699,1091940,1248717
US-TN,24487231,24629777,23189447,24832368,26118856,27216074,27348419,26632328,19462206,20622181,19967176,17466176,16685927,17903440,14966658,15862829,14545543,10358841,9361950,6868786,8915145,8371470
US-TX,92437807,95672686,100269279,101762999,101232971,99660962,102915788,101839927,95406650,100281132,110098425,97305165,102486695,101657503,86779197,86130492,93487554,75899022,63310631,56068974,61761902,59067560
US-UT,14905720,15643508,16302162,16606420,17117995.03,16609368.01,16592519,16926608,15925250,15233176,15004971,14083904,15528650,15062456,14580342,12000639,12438027,12331680,11890687,10866476,12274141,10571183
US-VA,15427618,15416555,15200844,14881800.54,14919536.03,14194257.98,14912701,13368488,10802579,10957617,8798848,6496701,9869373,9512531,7960943,7828236,5274592,4938516,1972956,1814436,1481724,1652415
US-VT,,,,,,,,,,,,,,,,,,,,,,
US-WA,6001410,6125529,7310783,6878530,6995591,4124679,5681470,5763323,4974233,5726666,3424561,2502192,4428542,4474939,3405097,3074627,3623129,3628396,4804176,3476488,2119522,2404535
US-WI,24080930,23331134,24318620,24776506.96,24614774.03,23701732.48,23779771,24724521,22199483,23833233,22812319,19283051,23674030,21234870,21559168,18972088,20918282,19479523,14694146,13238756,15407584,12455654
US-WV,32694237,37827819,37468318,35956431,37875179.04,37862654.03,38056404,37706159,29255356,32751739,31916965,29571091,30093280,31883464,28223351,29549447,27987730,25810633,23896740,20590094,24250094,21175562
US-WY,26184419,25675109,25860502,26427522.96,26085574.03,26170061.06,26585417,26885244,25501396,26101851,25114190,26265229,27915902,26288635,26312523,24433776,24678982,24377593,21818274,20866425,20013958,20844184
